OKRES,OBEC,OKRSEK,PROP_MAE,OKRSEK_POC_HLASU,url_ps2021,url_ps2025
3105,550361,1,1.87,561,https://www.volby.cz/appdata/ps2021/vysled/okrsek/3105/550361_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/3105/550361_1.json
5204,576859,4,1.87,683,https://www.volby.cz/appdata/ps2021/vysled/okrsek/5204/576859_4.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/5204/576859_4.json
2107,536041,1,1.87,832,https://www.volby.cz/appdata/ps2021/vysled/okrsek/2107/536041_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/2107/536041_1.json
3103,546542,1,1.87,1029,https://www.volby.cz/appdata/ps2021/vysled/okrsek/3103/546542_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/3103/546542_1.json
3105,550442,4,1.88,419,https://www.volby.cz/appdata/ps2021/vysled/okrsek/3105/550442_4.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/3105/550442_4.json
5205,579025,19,1.88,471,https://www.volby.cz/appdata/ps2021/vysled/okrsek/5205/579025_19.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/5205/579025_19.json
6105,596230,3,1.88,512,https://www.volby.cz/appdata/ps2021/vysled/okrsek/6105/596230_3.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/6105/596230_3.json
7203,541630,6,1.88,529,https://www.volby.cz/appdata/ps2021/vysled/okrsek/7203/541630_6.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/7203/541630_6.json
8104,599948,4,1.88,537,https://www.volby.cz/appdata/ps2021/vysled/okrsek/8104/599948_4.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/8104/599948_4.json
8103,598933,8,1.88,575,https://www.volby.cz/appdata/ps2021/vysled/okrsek/8103/598933_8.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/8103/598933_8.json
7102,500496,83,1.88,736,https://www.volby.cz/appdata/ps2021/vysled/okrsek/7102/500496_83.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/7102/500496_83.json
7204,585114,3,1.88,777,https://www.volby.cz/appdata/ps2021/vysled/okrsek/7204/585114_3.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/7204/585114_3.json
8104,599701,6,1.89,114,https://www.volby.cz/appdata/ps2021/vysled/okrsek/8104/599701_6.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/8104/599701_6.json
7103,589292,1,1.89,231,https://www.volby.cz/appdata/ps2021/vysled/okrsek/7103/589292_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/7103/589292_1.json
7204,585190,1,1.89,239,https://www.volby.cz/appdata/ps2021/vysled/okrsek/7204/585190_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/7204/585190_1.json
5204,576263,1,1.89,311,https://www.volby.cz/appdata/ps2021/vysled/okrsek/5204/576263_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/5204/576263_1.json
3102,545830,1,1.89,349,https://www.volby.cz/appdata/ps2021/vysled/okrsek/3102/545830_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/3102/545830_1.json
6207,593711,4,1.89,374,https://www.volby.cz/appdata/ps2021/vysled/okrsek/6207/593711_4.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/6207/593711_4.json
6201,581283,25,1.89,379,https://www.volby.cz/appdata/ps2021/vysled/okrsek/6201/581283_25.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/6201/581283_25.json
6103,548472,1,1.89,420,https://www.volby.cz/appdata/ps2021/vysled/okrsek/6103/548472_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/6103/548472_1.json
5205,579025,26,1.89,467,https://www.volby.cz/appdata/ps2021/vysled/okrsek/5205/579025_26.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/5205/579025_26.json
8102,598003,48,1.89,485,https://www.volby.cz/appdata/ps2021/vysled/okrsek/8102/598003_48.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/8102/598003_48.json
8105,555321,32,1.89,494,https://www.volby.cz/appdata/ps2021/vysled/okrsek/8105/555321_32.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/8105/555321_32.json
5203,573868,13,1.89,512,https://www.volby.cz/appdata/ps2021/vysled/okrsek/5203/573868_13.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/5203/573868_13.json
3102,545431,1,1.89,550,https://www.volby.cz/appdata/ps2021/vysled/okrsek/3102/545431_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/3102/545431_1.json
8104,568732,1,1.89,553,https://www.volby.cz/appdata/ps2021/vysled/okrsek/8104/568732_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/8104/568732_1.json
5301,571164,3,1.89,598,https://www.volby.cz/appdata/ps2021/vysled/okrsek/5301/571164_3.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/5301/571164_3.json
5302,555100,6004,1.89,610,https://www.volby.cz/appdata/ps2021/vysled/okrsek/5302/555100_6004.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/5302/555100_6004.json
6102,586846,3,1.89,610,https://www.volby.cz/appdata/ps2021/vysled/okrsek/6102/586846_3.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/6102/586846_3.json
6203,584070,1,1.9,90,https://www.volby.cz/appdata/ps2021/vysled/okrsek/6203/584070_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/6203/584070_1.json
2108,536083,1,1.9,123,https://www.volby.cz/appdata/ps2021/vysled/okrsek/2108/536083_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/2108/536083_1.json
3206,560162,1,1.9,190,https://www.volby.cz/appdata/ps2021/vysled/okrsek/3206/560162_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/3206/560162_1.json
6201,582689,1,1.9,210,https://www.volby.cz/appdata/ps2021/vysled/okrsek/6201/582689_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/6201/582689_1.json
2108,537004,8,1.9,278,https://www.volby.cz/appdata/ps2021/vysled/okrsek/2108/537004_8.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/2108/537004_8.json
6101,568902,1,1.9,316,https://www.volby.cz/appdata/ps2021/vysled/okrsek/6101/568902_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/6101/568902_1.json
2107,535605,1,1.9,348,https://www.volby.cz/appdata/ps2021/vysled/okrsek/2107/535605_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/2107/535605_1.json
5303,578576,4,1.9,353,https://www.volby.cz/appdata/ps2021/vysled/okrsek/5303/578576_4.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/5303/578576_4.json
6101,569658,1,1.9,362,https://www.volby.cz/appdata/ps2021/vysled/okrsek/6101/569658_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/6101/569658_1.json
3106,550787,5,1.9,376,https://www.volby.cz/appdata/ps2021/vysled/okrsek/3106/550787_5.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/3106/550787_5.json
5205,579645,2,1.9,384,https://www.volby.cz/appdata/ps2021/vysled/okrsek/5205/579645_2.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/5205/579645_2.json
3202,556301,1,1.9,403,https://www.volby.cz/appdata/ps2021/vysled/okrsek/3202/556301_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/3202/556301_1.json
4203,564567,13,1.9,405,https://www.volby.cz/appdata/ps2021/vysled/okrsek/4203/564567_13.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/4203/564567_13.json
3103,545881,21,1.9,437,https://www.volby.cz/appdata/ps2021/vysled/okrsek/3103/545881_21.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/3103/545881_21.json
5102,563510,37,1.9,447,https://www.volby.cz/appdata/ps2021/vysled/okrsek/5102/563510_37.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/5102/563510_37.json
7204,585068,71,1.9,451,https://www.volby.cz/appdata/ps2021/vysled/okrsek/7204/585068_71.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/7204/585068_71.json
4204,565971,12,1.9,453,https://www.volby.cz/appdata/ps2021/vysled/okrsek/4204/565971_12.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/4204/565971_12.json
7105,523704,17,1.9,466,https://www.volby.cz/appdata/ps2021/vysled/okrsek/7105/523704_17.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/7105/523704_17.json
2107,535419,11,1.9,580,https://www.volby.cz/appdata/ps2021/vysled/okrsek/2107/535419_11.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/2107/535419_11.json
1100,547395,44002,1.9,580,https://www.volby.cz/appdata/ps2021/vysled/okrsek/1100/547395_44002.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/1100/547395_44002.json
6202,551091,22007,1.9,597,https://www.volby.cz/appdata/ps2021/vysled/okrsek/6202/551091_22007.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/6202/551091_22007.json
5203,574279,3,1.9,615,https://www.volby.cz/appdata/ps2021/vysled/okrsek/5203/574279_3.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/5203/574279_3.json
6204,584550,2,1.9,676,https://www.volby.cz/appdata/ps2021/vysled/okrsek/6204/584550_2.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/6204/584550_2.json
8102,598453,3,1.9,696,https://www.volby.cz/appdata/ps2021/vysled/okrsek/8102/598453_3.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/8102/598453_3.json
7102,505587,3,1.9,701,https://www.volby.cz/appdata/ps2021/vysled/okrsek/7102/505587_3.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/7102/505587_3.json
